Added Component: Designator=P1(1x2 Header 1.27)
Added Component: Designator=P2(1x2 Header 1.27)
Added Component: Designator=P3(1x5 Header 1.27)
Added Component: Designator=P4(1x2 Header 1.27)
Added Pin To Net: NetName=GND Pin=P1-1
Added Pin To Net: NetName=Solar+ Pin=P1-2
Added Pin To Net: NetName=VCC Pin=P2-1
Added Pin To Net: NetName=GND Pin=P2-2
Added Pin To Net: NetName=GND Pin=P3-1
Added Pin To Net: NetName=ICSP Pin=P3-2
Added Pin To Net: NetName=VCC Pin=P3-3
Added Pin To Net: NetName=ICSPCLK Pin=P3-4
Added Pin To Net: NetName=ICSPDAT Pin=P3-5
Added Pin To Net: NetName=VDD Pin=P4-1
Added Pin To Net: NetName=GND Pin=P4-2
